professions.tsv,1919,1907,1883,1871,1868,1869,1891,1879,1901,1892,1864,1850,1849,1884,1900,1889,1895,1886,1890,1897,1888,1894,1913,1920,1896,1903,1912,1874,1873,1851,1885,1881,1870,1858,1863,1860,1915,1876,1840,1908,1880,1917,1867,1877,1862,1904,1859,1882,1853,1887,1923,1898,1909,1875,1866
capo,63,137,76,8,98,94,47,92,239,99,52,125,42,55,54,69,33,145,224,96,61,239,269,36,94,93,150,37,30,75,95,400,116,55,344,460,53,24,164,27,13,28,385,83,121,49,142,158,68,68,18,6,81,39,16
ore,2,0,0,0,0,0,1,0,1,2,1,6,0,0,1,2,0,2,0,1,0,0,0,1,0,2,0,1,0,0,2,3,0,0,1,1,0,0,4,0,0,1,3,0,0,0,4,1,0,0,0,0,0,0,2
messaggero,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
portatore,1,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0,6,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0
guerriero,3,20,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,2,1,1,0,0,0,0,4,0,3,1,21,8,7,0,0,7,0,0,0,6,2,1,0,0,0,0,0,0,0,2,0,0
coltivatore,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
comparsa,1,3,1,1,0,1,1,1,5,0,0,0,0,0,0,0,0,1,0,2,3,0,5,0,1,5,3,0,0,0,0,0,6,1,1,3,0,0,3,0,0,4,16,0,0,0,24,1,3,2,0,0,0,0,0
maestro,4,13,21,17,7,1,80,6,31,11,6,27,0,5,30,10,16,281,41,16,4,73,16,2,1,18,32,2,11,18,1,72,16,2,27,42,12,0,15,0,1,6,40,3,8,1,110,7,44,1,41,2,17,0,0
musa,2,0,0,0,1,0,0,1,0,0,0,0,0,0,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,11,3,0,0,0,0,0,0,2,1,0,0,6,1,1,0,0,0,0,1,0
maschera,5,3,1,2,0,0,1,12,14,2,5,2,0,0,18,12,2,6,15,8,5,2,8,4,4,2,9,0,1,4,0,12,2,1,4,11,1,0,2,0,1,4,2,7,10,3,52,3,4,0,1,0,0,1,2
prostituta,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
giocatore,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,1,1,5,0,1,1,5,1,0,0,1,0,0,2,3,0,6,3,0,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0
contadino,20,9,18,0,19,7,1,3,43,18,5,3,15,7,1,0,0,49,10,14,15,13,32,18,28,4,25,2,0,16,6,26,12,0,5,30,2,0,29,1,7,4,31,4,2,3,8,19,9,2,5,0,4,4,0
signore,80,126,94,1,390,153,119,313,977,447,59,401,105,133,16,85,9,413,529,397,140,251,375,177,75,229,678,102,82,188,359,1079,50,63,266,850,126,62,516,255,88,39,599,171,274,259,709,345,120,46,148,103,238,51,106
carceriere,1,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,1,17,0,0,1,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0
soldato,7,19,10,0,6,8,5,4,1,2,9,47,4,0,1,2,5,60,18,6,5,21,39,1,15,1,7,0,0,10,2,16,91,14,232,172,0,5,68,0,2,5,118,0,12,0,68,6,13,8,6,2,3,0,1
maestra,0,8,0,0,0,0,0,2,22,2,13,5,0,2,1,0,0,105,2,6,3,2,7,0,7,1,4,1,3,3,0,25,2,0,0,3,3,0,5,3,1,15,8,0,1,6,10,1,1,40,0,0,2,0,0
bottegaio,0,1,0,0,0,0,2,0,1,3,0,1,0,0,0,0,0,5,3,0,0,1,0,0,0,1,1,0,0,3,1,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
impiegato,0,5,5,0,2,1,8,5,8,61,2,3,1,0,0,0,0,6,15,4,1,13,5,8,0,1,12,0,0,3,0,12,1,0,0,0,2,0,3,0,0,6,2,1,3,2,10,3,10,1,18,0,0,2,0
fisico,1,3,0,0,1,0,2,1,2,1,0,1,0,0,0,0,0,1,4,1,0,2,1,0,1,0,5,0,0,1,1,2,2,0,6,4,2,1,4,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0
stella,6,8,4,3,1,7,5,22,13,3,2,9,0,0,29,10,4,8,9,4,4,3,25,4,20,6,11,6,7,7,4,40,5,7,56,18,1,1,5,4,2,9,30,18,4,1,24,11,5,1,5,0,13,3,3
fattorino,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
pescatore,1,4,19,0,0,0,2,2,4,0,0,0,2,0,2,0,0,0,1,3,3,0,1,0,5,0,3,0,0,0,0,5,0,1,8,3,0,0,11,0,0,0,9,1,0,20,3,0,0,0,2,0,3,1,2
segretaria,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manovale,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
conte,1,2,9,0,2,2,1,93,677,1,3,23,0,1,9,117,2,375,197,191,27,99,224,27,1,18,135,1,5,67,203,782,1,12,62,143,14,4,100,3,1,3,131,33,167,3,1180,167,16,0,1,0,0,8,55
carabiniere,0,1,11,0,7,0,3,1,12,3,0,0,0,0,0,2,0,2,5,3,9,1,7,0,4,0,4,0,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,16,0,0,0,7,0,4
maestranza,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ballerino,0,2,1,0,0,0,1,0,3,0,0,5,0,0,0,0,0,10,3,1,4,0,0,0,2,0,4,0,2,0,0,5,0,0,0,1,0,0,1,0,0,0,2,1,1,0,10,4,0,1,0,0,0,2,1
medico,16,19,27,0,17,72,11,7,75,46,30,11,7,13,0,11,1,73,72,34,11,11,18,13,12,6,67,0,0,42,29,92,2,0,144,86,22,5,32,4,5,10,59,4,7,6,54,20,11,7,45,12,11,22,6
chirurgo,0,2,1,0,1,0,3,0,0,0,5,0,0,0,0,3,0,3,11,1,0,6,0,1,0,1,3,0,2,2,0,0,1,0,1,2,0,4,9,0,0,0,4,0,3,0,16,1,9,0,1,0,1,1,0
guida,0,10,0,1,0,2,0,3,5,1,1,3,1,0,1,2,3,2,2,7,0,4,5,1,2,2,8,1,3,3,0,18,11,0,4,25,1,1,18,1,1,4,10,0,0,4,5,3,9,0,0,0,5,0,0
segretario,0,5,2,0,15,25,4,5,5,2,0,15,0,0,0,1,0,1,8,5,18,4,27,0,1,0,5,0,0,2,7,27,0,0,12,25,1,0,11,1,0,2,25,2,16,7,44,16,16,1,0,0,0,0,0
scrittore,5,5,2,0,1,0,3,8,2,4,0,0,0,0,0,0,2,1,2,3,11,2,1,0,0,2,2,0,10,23,2,15,1,0,10,10,1,0,45,0,0,2,6,4,9,2,25,0,2,0,1,0,0,0,0
guardia,3,89,10,0,1,9,7,5,24,6,2,13,2,5,0,13,1,26,45,4,9,20,39,44,70,17,26,2,3,3,0,13,31,0,42,53,0,1,47,1,0,1,51,0,14,8,91,3,18,16,2,0,2,0,1
calcolatore,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balia,1,2,1,0,0,1,0,9,8,5,0,2,2,2,0,0,1,0,5,1,2,11,0,1,2,0,0,0,2,2,1,4,1,0,2,5,0,1,5,0,0,1,6,1,0,0,4,6,2,0,11,0,0,4,0
sociologo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saggio,1,3,0,1,2,0,1,2,2,0,5,3,0,1,0,1,3,0,1,3,1,2,4,1,0,7,4,0,2,2,0,6,4,0,6,9,2,1,12,1,0,0,8,1,2,4,11,0,3,0,1,1,1,0,1
cocchiere,0,3,2,0,3,6,3,1,24,3,1,1,0,11,0,5,1,4,20,8,4,51,8,1,0,3,20,0,0,5,9,35,10,0,0,1,1,0,10,0,0,0,5,7,10,0,46,9,0,0,1,0,2,0,5
rappresentante,0,3,1,1,0,1,8,0,1,1,1,2,0,0,0,1,0,4,1,1,2,17,4,1,0,2,0,0,1,0,2,4,10,0,4,10,0,1,4,0,0,0,11,0,1,0,8,2,3,1,2,0,1,0,0
clero,0,1,0,0,1,1,0,0,2,0,19,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0,5,0,7,1,2,2,0,0,13,0,0,0,13,0,0,0,1,0,2,0,0,0,2,0,0
romanziere,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,3,0,4,2,0,0,3,3,0,0,2,0,0,1,2,3,0,4,1,0,0,0,0,0,0,0
scrittrice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegnere,3,2,0,0,0,1,9,7,24,0,0,1,0,0,0,0,0,9,1,34,2,2,31,1,1,0,8,10,0,0,0,44,1,0,1,0,1,0,0,0,0,4,7,0,5,0,6,0,0,5,0,0,0,0,0
corrispondente,0,2,0,0,0,0,6,1,0,6,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0
scienziato,1,4,1,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,14,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,4,0,2,1,1,0,0,0,1,2,0,0,0
psicologo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
giornalista,0,3,0,0,2,0,26,7,2,0,0,0,0,0,0,0,0,0,6,4,13,2,4,0,0,47,2,1,1,0,3,1,0,0,0,2,0,0,0,0,1,0,2,1,5,0,3,2,0,0,0,0,1,0,1
direttore,0,5,16,0,1,1,14,4,41,6,5,1,0,0,0,0,0,62,15,2,3,3,10,3,0,3,65,0,1,2,1,4,8,0,1,1,5,0,2,1,0,4,5,0,4,2,18,25,14,2,3,0,0,0,0
editore,1,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6,0,4,0,0,0,0,0,1,1,0,1,2,7,0,0,0,3,0,1,0,0,0,0,0,0
attore,0,24,2,0,0,1,1,8,1,0,1,0,0,0,26,0,0,1,10,1,1,4,7,2,0,1,1,1,2,3,3,9,2,0,2,14,6,0,1,0,0,1,11,4,2,3,16,3,3,9,2,0,0,0,1
duchessa,0,1,0,1,0,0,80,0,0,0,2,0,0,38,0,15,4,0,1,0,2,56,0,0,0,1,0,0,8,1,0,46,0,0,5,4,2,1,0,0,0,0,0,0,0,0,5,140,1,0,0,0,0,0,2
mercante,1,1,0,4,4,1,5,0,1,0,1,9,2,0,0,0,0,0,5,1,0,2,5,2,1,0,1,0,8,2,3,1,1,0,23,28,0,0,19,0,1,2,20,2,2,1,25,4,1,0,1,0,0,0,1
modello,1,1,1,0,0,1,3,4,2,0,1,6,1,0,2,0,0,1,5,0,0,9,4,0,0,2,2,0,1,6,0,2,5,0,4,12,2,0,2,1,0,1,4,0,4,0,6,3,1,0,2,3,0,0,2
funzionario,0,2,2,0,0,0,1,0,2,2,4,0,0,0,0,0,0,2,4,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,0,0
interprete,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,5,0,0,10,1,0,0,4,1,0,0,15,0,0,1,0,0,1,0,1
disegnatore,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scultore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,0,3,1,0,0,2,0,0,0,1,5,0,0,8,1,0,0,0,27,0,0,0
profeta,0,3,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,2,15,6,0,0,1,0,0,0,42,0,0,0,1,0,0,0,1,0,0,0,0
causidico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
redattore,0,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
pastore,0,2,0,0,0,0,2,0,0,0,0,0,1,0,4,2,0,0,2,3,4,1,11,9,53,1,2,0,1,0,0,4,5,0,2,20,1,0,11,0,1,0,8,3,0,0,5,1,0,0,0,0,8,0,0
attrice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fisiologo,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
deputato,0,2,0,1,1,1,18,1,17,2,0,1,2,0,0,0,0,2,3,8,1,51,46,0,0,2,5,0,1,0,43,7,2,0,1,6,0,1,18,0,0,0,4,1,61,0,3,17,1,1,0,0,0,0,0
poeta,5,10,4,7,2,2,5,30,20,1,3,5,1,0,49,32,8,1,7,7,5,6,5,5,9,8,5,1,6,31,3,55,5,3,43,24,4,0,15,0,19,3,28,45,8,2,73,18,1,0,2,1,3,2,0
fantesca,0,1,0,0,1,1,1,0,3,1,13,2,0,0,0,0,0,1,1,0,0,2,0,1,1,3,0,0,1,0,1,8,3,0,4,9,2,0,0,0,0,2,10,0,2,0,5,0,1,0,11,3,0,0,0
inviato,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0
archeologo,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
regina,1,13,4,2,0,0,4,4,0,1,1,0,2,3,8,1,7,2,67,4,6,2,9,1,4,7,10,0,1,3,0,14,6,4,5,12,0,0,145,1,2,1,40,5,4,0,18,4,0,4,0,0,4,0,0
educatore,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
lavorante,1,1,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
filosofo,2,1,0,1,1,1,2,8,2,7,6,3,1,1,0,0,1,0,3,51,3,0,1,0,0,5,1,1,0,4,0,5,0,0,12,37,2,0,1,0,1,0,19,9,10,4,22,2,1,0,2,0,0,0,0
avvocato,2,1,4,0,13,3,0,10,67,7,1,4,0,10,0,1,1,3,46,53,36,20,20,12,9,2,113,0,1,3,67,37,1,0,2,6,16,2,11,4,1,4,67,79,15,4,231,30,15,0,10,1,0,0,0
assistente,0,1,0,0,0,0,2,0,3,0,2,1,11,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0,3,0,0,0,1,0,0
secondo capo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servitore,0,2,7,0,6,1,11,5,11,0,5,15,1,4,3,0,1,30,10,11,3,14,3,0,1,36,15,1,6,19,3,22,2,1,8,23,1,0,47,0,1,0,22,2,3,0,64,29,11,1,0,1,0,0,1
cavaliere,0,2,5,1,21,2,3,21,139,21,4,29,0,2,2,23,2,0,87,1,50,93,48,27,9,20,8,0,3,30,2,33,11,71,112,246,3,3,43,0,1,9,32,7,8,13,74,11,1,0,3,0,0,0,5
generale,0,0,16,0,0,2,1,0,1,4,21,3,0,1,0,0,0,6,16,3,0,18,18,0,1,28,11,0,2,16,0,6,36,0,9,196,1,1,32,0,0,0,56,0,35,1,106,3,12,0,0,0,0,0,1
imperatore,0,2,2,0,0,0,2,0,2,0,1,3,0,0,4,3,1,2,9,1,2,2,2,0,0,4,3,0,1,4,0,8,4,3,85,31,0,0,21,0,0,2,19,1,12,3,53,1,3,0,1,0,3,0,0
governante,0,0,1,0,1,0,1,1,1,2,0,0,0,2,0,2,0,75,3,1,5,3,26,2,0,4,0,0,1,0,1,7,3,0,1,2,10,1,2,3,0,1,9,1,0,5,11,2,0,3,0,1,0,0,0
giornalaio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pittore,7,0,7,0,61,0,16,5,3,0,1,15,1,0,1,5,1,5,0,0,1,1,0,2,0,1,0,0,3,9,2,16,3,0,3,13,10,0,3,1,0,0,2,2,1,12,54,3,0,0,1,2,0,0,1
lettore,0,0,5,2,2,1,5,24,0,5,13,8,0,0,0,3,0,1,8,1,8,9,2,0,1,2,1,1,14,23,0,16,24,0,16,60,1,9,75,0,3,0,17,5,19,1,217,0,37,1,0,0,1,0,0
sguattero,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,1,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spazzino,1,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
giudice,2,7,7,2,7,3,1,6,61,0,0,6,15,1,1,3,2,8,16,7,45,26,9,0,13,6,7,0,0,4,2,8,1,1,27,72,0,2,102,0,0,1,30,5,4,1,130,3,5,0,3,1,3,0,0
spia,0,12,4,0,0,0,1,0,6,0,13,9,0,0,0,5,0,0,9,3,0,11,2,0,15,2,15,0,3,4,0,1,23,0,5,20,0,0,8,0,0,0,9,0,3,2,9,0,11,0,0,2,0,0,2
storico,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,15,7,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0
pasticciere,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vetturino,1,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0
diplomatico,1,0,3,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,2,0
marchese,5,0,1,0,8,110,0,0,697,0,0,1,0,1,0,50,0,64,172,1,28,115,0,2,0,13,15,0,1,45,0,30,0,0,22,30,16,11,12,0,0,0,3,8,17,28,315,108,2,0,0,0,0,0,0
re,0,11,2,4,2,1,2,7,4,1,38,3,0,0,15,7,13,18,78,3,13,5,35,5,5,3,7,0,0,10,6,25,10,4,88,129,1,0,189,1,0,1,143,8,34,3,89,6,21,4,0,1,6,0,0
libraio,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,1,4,2,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,1,3,1,0,0,0
principe reale,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altezzo reale,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maestro di cerimonia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
conquistatore,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,3,1,0,1,1,1,4,5,1,2,2,1,0,6,0,0,0,5,1,0,0,1,2,1,0,0,0,0,0,0
sartore,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
battelliere,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banchiere,0,0,0,1,31,0,0,0,6,1,0,1,0,1,0,0,1,1,3,2,2,0,3,0,0,8,20,0,0,13,0,4,0,0,0,6,0,10,4,0,0,0,6,0,6,0,23,1,0,0,0,0,0,0,0
commessa,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
pizzicagnolo,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
venditore,1,0,0,0,4,1,1,2,2,1,2,1,0,0,0,4,0,2,1,0,0,1,4,0,3,0,1,0,0,3,0,8,0,0,2,2,0,0,1,0,0,0,8,0,2,0,3,1,0,0,5,0,1,1,0
macellaio,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
